Symbol,Description,Portfolio Weight,Shares Held,Market Value
MSA,MSA Safety Inc,0.01%,53.0,$10.0K
LYFT,Lyft Inc Class A,0.01%,719.0,$9.6K
MKL,Markel Group Inc,0.01%,6.0,$9.5K
MSGS,Madison Square Garden Sports Corp Class ...,0.01%,22.0,$4.2K
COKE,Coca-Cola Consolidated Inc,0.01%,9.0,$9.6K
COHR,Coherent Corp,0.01%,74.0,$5.3K
CLX,Clorox Co,0.01%,57.0,$7.8K
COTY,Coty Inc Class A,0.01%,873.0,$8.8K
CR,Crane Co,0.01%,75.0,$10.9K
DAR,Darling Ingredients Inc,0.01%,131.0,$4.8K
CUBE,CubeSmart,0.01%,256.0,$11.5K
EBAY,eBay Inc,0.01%,106.0,$5.6K
DV,DoubleVerify Holdings Inc,0.01%,236.0,$4.5K
DOCS,Doximity Inc Class A,0.01%,215.0,$6.0K
BROS,Dutch Bros Inc Class A,0.01%,97.0,$4.1K
DBX,Dropbox Inc Class A,0.01%,542.0,$12.2K
DLB,Dolby Laboratories Inc Class A,0.01%,72.0,$5.7K
DG,Dollar General Corp,0.01%,51.0,$6.6K
DCI,Donaldson Co Inc,0.01%,142.0,$10.1K
DVA,DaVita Inc,0.01%,29.0,$4.1K
GS,The Goldman Sachs Group Inc,0.01%,22.0,$9.8K
GNTX,Gentex Corp,0.01%,304.0,$10.1K
GPC,Genuine Parts Co,0.01%,50.0,$6.9K
GTLB,GitLab Inc Class A,0.01%,215.0,$10.6K
HCP,HashiCorp Inc Ordinary Shares Class A,0.01%,231.0,$7.7K
GME,GameStop Corp Class A,0.01%,423.0,$10.6K
FRSH,Freshworks Inc Ordinary Shares Class A,0.01%,429.0,$5.4K
GXO,GXO Logistics Inc,0.01%,126.0,$6.3K
FIVN,Five9 Inc,0.01%,128.0,$5.5K
FR,First Industrial Realty Trust Inc,0.01%,245.0,$11.5K
FLS,Flowserve Corp,0.01%,96.0,$4.6K
EVR,Evercore Inc Class A,0.01%,34.0,$6.7K
FRT,Federal Realty Investment Trust,0.01%,49.0,$4.9K
WTRG,Essential Utilities Inc,0.01%,223.0,$8.3K
EQR,Equity Residential,0.01%,96.0,$6.6K
AZPN,Aspen Technology Inc,0.01%,44.0,$8.7K
SNA,Snap-on Inc,0.01%,29.0,$7.5K
SITE,SiteOne Landscape Supply Inc,0.01%,80.0,$9.8K
SKX,Skechers USA Inc Class A,0.01%,138.0,$9.6K
SWKS,Skyworks Solutions Inc,0.01%,59.0,$6.2K
SLAB,Silicon Laboratories Inc,0.01%,56.0,$6.1K
STAG,Stag Industrial Inc,0.01%,216.0,$7.6K
SRCL,Stericycle Inc,0.01%,75.0,$4.3K
SEIC,SEI Investments Co,0.01%,126.0,$8.1K
HSIC,Henry Schein Inc,0.01%,75.0,$4.8K
IOT,Samsara Inc Ordinary Shares - Class A,0.01%,347.0,$11.3K
S,SentinelOne Inc Class A,0.01%,527.0,$10.9K
TXT,Textron Inc,0.01%,103.0,$8.9K
TXG,10x Genomics Inc Ordinary Shares - Class...,0.01%,214.0,$4.2K
TDC,Teradata Corp,0.01%,216.0,$7.5K
TKO,TKO Group Holdings Inc,0.01%,72.0,$7.8K
SYNA,Synaptics Inc,0.01%,64.0,$5.6K
MTN,Vail Resorts Inc,0.01%,50.0,$9.0K
VMI,Valmont Industries Inc,0.01%,22.0,$6.0K
VVV,Valvoline Inc,0.01%,240.0,$10.3K
VNT,Vontier Corp Ordinary Shares,0.01%,130.0,$5.0K
VNO,Vornado Realty Trust,0.01%,245.0,$6.3K
TNET,Trinet Group Inc,0.01%,51.0,$5.1K
UDR,UDR Inc,0.01%,291.0,$11.9K
UFPI,UFP Industries Inc,0.01%,64.0,$7.0K
PATH,UiPath Inc Class A,0.01%,860.0,$10.9K
UPS,United Parcel Service Inc Class B,0.01%,70.0,$9.5K
U,Unity Software Inc Ordinary Shares,0.01%,555.0,$9.2K
DOX,Amdocs Ltd,0.01%,74.0,$5.8K
WOLF,Wolfspeed Inc,0.01%,237.0,$5.5K
WWD,Woodward Inc,0.01%,55.0,$9.8K
YETI,YETI Holdings Inc,0.01%,154.0,$6.1K
WH,Wyndham Hotels & Resorts Inc Ordinary Sh...,0.01%,64.0,$4.7K
WYNN,Wynn Resorts Ltd,0.01%,90.0,$8.0K
XPO,XPO Inc,0.01%,58.0,$6.0K
WY,Weyerhaeuser Co,0.01%,330.0,$9.3K
WMB,Williams Companies Inc,0.01%,125.0,$5.3K
WTS,Watts Water Technologies Inc Class A,0.01%,48.0,$8.8K
WMG,Warner Music Group Corp Ordinary Shares ...,0.01%,273.0,$8.4K
PCTY,Paylocity Holding Corp,0.01%,77.0,$10.2K
PSN,Parsons Corp,0.01%,69.0,$5.7K
PVH,PVH Corp,0.01%,50.0,$5.3K
OC,Owens-Corning Inc,0.01%,26.0,$4.5K
PKG,Packaging Corp of America,0.01%,25.0,$4.6K
OLN,Olin Corp,0.01%,235.0,$11.2K
OPCH,Option Care Health Inc,0.01%,358.0,$10.0K
WMB,Williams Companies Inc,0.01%,125.0,$5.3K
WLK,Westlake Corp,0.01%,35.0,$5.1K
WTS,Watts Water Technologies Inc Class A,0.01%,48.0,$8.8K
WMG,Warner Music Group Corp Ordinary Shares ...,0.01%,273.0,$8.4K
WEN,The Wendy's Co Class A,0.00%,96.0,$1.6K
WAL,Western Alliance Bancorp,0.00%,10.0,$609.0
WEC,WEC Energy Group Inc,0.00%,20.0,$1.6K
UHS,Universal Health Services Inc Class B,0.00%,1.0,$192.0
UWMC,UWM Holdings Corp Ordinary Shares - Clas...,0.00%,94.0,$642.0
USFD,US Foods Holding Corp,0.00%,37.0,$2.0K
UAA,Under Armour Inc Class A,0.00%,103.0,$706.0
UA,Under Armour Inc Class C,0.00%,105.0,$699.0
RNR,RenaissanceRe Holdings Ltd,0.00%,1.0,$225.0
G,Genpact Ltd,0.00%,77.0,$2.5K
JAZZ,Jazz Pharmaceuticals PLC,0.00%,12.0,$1.3K
ZG,Zillow Group Inc Class A,0.00%,68.0,$3.1K
LNT,Alliant Energy Corp,0.00%,1.0,$51.0
UHAL,U-Haul Holding Co,0.00%,2.0,$124.0
UHAL/B,U-Haul Holding Co Ordinary Shares - Seri...,0.00%,27.0,$1.6K
--,US DOLLARS,-0.00%,15.0,$15.0
--,ABIOMED INC,0.00%,4.0,$0.0
ADC,Agree Realty Corp,0.00%,3.0,$185.0
AMG,Affiliated Managers Group Inc,0.00%,10.0,$1.6K
AMKR,Amkor Technology Inc,0.00%,99.0,$3.8K
AR,Antero Resources Corp,0.00%,87.0,$2.8K
ASH,Ashland Inc,0.00%,39.0,$3.7K
CINF,Cincinnati Financial Corp,0.00%,12.0,$1.4K
CLF,Cleveland-Cliffs Inc,0.00%,119.0,$1.8K
BYD,Boyd Gaming Corp,0.00%,5.0,$277.0
HRB,H&R Block Inc,0.00%,58.0,$3.1K
CHRW,C.H. Robinson Worldwide Inc,0.00%,10.0,$877.0
BRX,Brixmor Property Group Inc,0.00%,56.0,$1.3K
BF/A,Brown-Forman Corp Class A,0.00%,76.0,$3.3K
BC,Brunswick Corp,0.00%,40.0,$2.8K
EDR,Endeavor Group Holdings Inc Class A,0.00%,59.0,$1.6K
ELAN,Elanco Animal Health Inc,0.00%,267.0,$3.8K
FFIN,First Financial Bankshares Inc,0.00%,135.0,$3.9K
EEFT,Euronet Worldwide Inc,0.00%,28.0,$3.0K
FBIN,Fortune Brands Innovations Inc,0.00%,42.0,$2.8K
GRAL,GRAIL Inc,0.00%,12.0,$179.0
GPK,Graphic Packaging Holding Co,0.00%,18.0,$473.0
GIS,General Mills Inc,0.00%,35.0,$2.2K
GL,Globe Life Inc,0.00%,17.0,$1.4K
DKS,Dick's Sporting Goods Inc,0.00%,9.0,$2.0K
XRAY,Dentsply Sirona Inc,0.00%,133.0,$3.4K
DDS,Dillard's Inc Class A,0.00%,1.0,$432.0
DFS,Discover Financial Services,0.00%,20.0,$2.5K
DNB,Dun & Bradstreet Holdings Inc Ordinary S...,0.00%,438.0,$4.0K
CFR,Cullen/Frost Bankers Inc,0.00%,1.0,$99.0
CMI,Cummins Inc,0.00%,1.0,$280.0
CCK,Crown Holdings Inc,0.00%,41.0,$3.1K
CACC,Credit Acceptance Corp,0.00%,5.0,$2.5K
QDEL,QuidelOrtho Corp,0.00%,70.0,$2.3K
CBSH,Commerce Bancshares Inc,0.00%,71.0,$3.9K
COLM,Columbia Sportswear Co,0.00%,22.0,$1.7K
MTCH,Match Group Inc,0.00%,107.0,$3.3K
LBRDA,Liberty Broadband Corp Registered Shs Se...,0.00%,29.0,$1.5K
LLYVK,Liberty Live Group Ordinary Shares Serie...,0.00%,67.0,$2.5K
LLYVA,Liberty Live Group Ordinary Shares Serie...,0.00%,29.0,$1.0K
FWONA,Liberty Formula One Group A,0.00%,42.0,$2.7K
LITE,Lumentum Holdings Inc,0.00%,70.0,$3.4K
NWS,News Corp Class B,0.00%,68.0,$1.9K
NSA,National Storage Affiliates Trust,0.00%,68.0,$2.8K
KVYO,Klaviyo Inc Class A common stock,0.00%,66.0,$1.6K
ZD,Ziff Davis Inc,0.00%,9.0,$491.0
JNPR,Juniper Networks Inc,0.00%,81.0,$2.9K
LEN,Lennar Corp Class A,0.00%,22.0,$3.3K
LEN/B,Lennar Corp Class B,0.00%,1.0,$139.0
IART,Integra Lifesciences Holdings Corp,0.00%,61.0,$1.8K
IONS,Ionis Pharmaceuticals Inc,0.00%,19.0,$897.0
INFA,Informatica Inc,0.00%,90.0,$2.8K
IAC,IAC Inc Ordinary Shares - New,0.00%,45.0,$2.1K
IPGP,IPG Photonics Corp,0.00%,28.0,$2.3K
IDA,Idacorp Inc,0.00%,6.0,$556.0
HHH,Howard Hughes Holdings Inc,0.00%,48.0,$3.1K
HST,Host Hotels & Resorts Inc,0.00%,109.0,$2.0K
PHM,PulteGroup Inc,0.00%,36.0,$4.0K
REYN,Reynolds Consumer Products Inc Ordinary ...,0.00%,20.0,$566.0
RNG,RingCentral Inc Class A,0.00%,146.0,$4.1K
RH,RH Class A,0.00%,13.0,$3.1K
QS,QuantumScape Corp Ordinary Shares - Clas...,0.00%,697.0,$3.5K
RYN,Rayonier Inc,0.00%,131.0,$3.8K
PCAR,PACCAR Inc,0.00%,35.0,$3.6K
PPC,Pilgrims Pride Corp,0.00%,1.0,$38.0
PNFP,Pinnacle Financial Partners Inc,0.00%,21.0,$1.6K
OSK,Oshkosh Corp,0.00%,1.0,$105.0
TFSL,TFS Financial Corp,0.00%,5.0,$62.0
RUN,Sunrun Inc,0.00%,261.0,$3.5K
SYM,Symbotic Inc Ordinary Shares - Class A,0.00%,51.0,$1.8K
TGT,Target Corp,0.00%,3.0,$440.0
TDOC,Teladoc Health Inc,0.00%,338.0,$3.4K
SEDG,SolarEdge Technologies Inc,0.00%,101.0,$2.6K
SHC,Sotera Health Co Ordinary Shares,0.00%,219.0,$2.6K
SO,Southern Co,0.00%,8.0,$624.0
SIRI,Sirius XM Holdings Inc,0.00%,536.0,$1.5K
SIGI,Selective Insurance Group Inc,0.00%,36.0,$3.3K
SAIC,Science Applications International Corp,0.00%,30.0,$3.5K
RCM,R1 RCM Inc,0.00%,97.0,$1.2K
RKT,Rocket Companies Inc Ordinary Shares Cla...,0.00%,265.0,$3.7K
--,DEPOSITS WITH BROKER FOR SHORT POSITIONS,--0.13%,103.3K,$103.3K
